data,start_city,end_city
"Highway: 314, From: Bankura (near NH-14), To: Puruliya (near NH-18), Distance: 83.56 km, Notes: The highway starting from its junction with NH-14 near Bankura and terminating at its junction with NH-18 near Puruliya in the State of West Bengal. Old NH No.: 60A.",Bankura (near NH-14),Puruliya (near NH-18)
"Highway: 15, From: Baihata-Charali (near NH-27), To: Wakro (near NH-13), Distance: 665.46 km, Notes: The highway starting from its junction with NH-27 near Baihata-Charali connecting Mangaldai, Dhekiajuli, Tezpur, Banderdeva, North Lakhimpur, Dibrugarh, Tinsukia, Dum Duma in the State of Assam and terminating at its junction with NH-13 near Wakro in the State of Arunachal Pradesh. Old NH No.: 52, 52B & 37.",Baihata-Charali (near NH-27),Wakro (near NH-13)
"Highway: 115, From: Dum Duma (near NH-15), To: Roing (near NH13), Distance: 78.62 km, Notes: The highway starting from its juction with NH-15 near Dum Duma connecting Saikhoaghat, Kundil Bazar in the State of Assam and terminating at its junction with NH13 -near Roing in the State of Arunachal Pradesh. Old NH No.: 37.",Dum Duma (near NH-15),Roing (near NH13)
"Highway: 215, From: Mahadevpur (near NH-15), To: Dibrugarh (near NH-15), Distance: 330.04 km, Notes: The highway starting from its junction with NH-15 near Mahadevpur connecting Namchik, Changlang, Khonsa, Kanubari in the State of Arunachal Pradesh and terminating at its junction with NH-15 near Dibrugarh in the State of Assam. Old NH No.: 52B.",Mahadevpur (near NH-15),Dibrugarh (near NH-15)
"Highway: 315, From: Makum (near NH-15), To: India/Myanmar Border, Distance: 112.54 km, Notes: The highway starting from its junction with NH-15 near Makum connecting Ledo, Lekhapani in the State of Assam, Licok near NH and terminating at India/Myanmar Border. Old NH No.: 38 & 153.",Makum (near NH-15),India/Myanmar Border
"Highway: 315A, From: Tinsukia (on N.H-15), To: Khonsa (on N.H-215), Distance: 99.22 km, Notes: The highway starting from Tinsukia on N.H-15 connecting Naharkatia in the State of Assam connecting Hukanjuri, terminating at Khonsa on N.H-215 in the state of Arunachal Pradesh. Old NH No.: 45A.",Tinsukia (on N.H-15),Khonsa (on N.H-215)
"Highway: 415, From: Ghopur (near NH-15), To: Banderdeva (near NH-15), Distance: 60.44 km, Notes: The highway starting from its junction with NH-15 near Ghopur in the State of Assam connecting Itanagar in the State of Arunachal Pradesh Daimukh and terminating at its junction with NH-15 near Banderdeva in the State of Assam. Old NH No.: 52A.",Ghopur (near NH-15),Banderdeva (near NH-15)
"Highway: 515, From: Kulajan (near NH-15), To: Pasighat (near NH-13), Distance: 101.0 km, Notes: The highway starting from its junction with NH-15 near Kulajan connecting Jonai in the State of Assam and terminating at its junction with NH-13 near Pasighat in Arunachal Pradesh. Old NH No.: 52.",Kulajan (near NH-15),Pasighat (near NH-13)
"Highway: 715, From: Tejpur (near NH-15), To: Jhanji (near NH-2), Distance: 195.1 km, Notes: The highway starting from its junction with NH-15 near Tejpur connecting Jakhalabandha, Bokakhat, Jorhat and terminating at its junction with NH-2 near Jhanji in the State of Assam. Old NH No.: 37A & 37.",Tejpur (near NH-15),Jhanji (near NH-2)
"Highway: 715A, From: Nakhola (near NH-27), To: Indo/Bhutan border, Distance: 142.5 km, Notes: The highway starting from its junction with NH-27 near Nakhola connecting Jagiroad, Marigaon, Kaupati, Rowta, Udalguri, Khoirabari and terminating at Indo/Bhutan border in the State of Assam. Old NH No.: 254.",Nakhola (near NH-27),Indo/Bhutan border
"Highway: 16, From: Kolkata (near NH-19), To: Chennai (near NH-48), Distance: 1621.62 km, Notes: The highway starting from its junction with NH-19 near Kolkata connecting Kharagpur in the State of West Bengal, Baleshwar and Bhubaneshwar in the State of Orissa, Anandapuram Pendurthi, Anakapalli, Rajahmundary, Deverapalli, Gondugolanu, Vijayawada, Nellore in the State of Andhra Pradesh and terminating at its junction with NH-48 near Chennai in the State of Tamil Nadu. Old NH No.: 5, 6 & 217, G.Q.",Kolkata (near NH-19),Chennai (near NH-48)
"Highway: 116, From: Kolaghat (near NH-16), To: Haldia Port, Distance: 52.7 km, Notes: The highway starting from its junction with NH-16 near Kolaghat and terminating at Haldia Port in the State of West Bengal. Old NH No.: 41.",Kolaghat (near NH-16),Haldia Port
"Highway: 116B, From: Nandakumar (on N.H-116), To: Chandaneswar, Distance: 90.78 km, Notes: The highway starting from Nandakumar on N.H-116 connecting Contai, Digha and terminating at Chandaneswar in the state of West Bengal. Old NH No.: 50A.",Nandakumar (on N.H-116),Chandaneswar
"Highway: 316, From: Bhubaneshwar (near NH-16), To: Puri-Satpada, Distance: 152.77 km, Notes: The highway starting from its junction with NH-16 near Bhubaneshwar connecting Puri-Konark and Puri-Satpada in the State of Orissa. Old NH No.: 203, 203A.",Bhubaneshwar (near NH-16),Puri-Satpada
"Highway: 516, From: Chhatrapur (near NH-16), To: Gopalpur, Distance: 5.92 km, Notes: The highway starting from its junction with NH-16 near Chhatrapur and terminating at Gopalpur in the State of Orissa. Old NH No.: 217.",Chhatrapur (near NH-16),Gopalpur
"Highway: 216, From: Kathipudi (near NH-16), To: Ongole (near NH-16), Distance: 391.3 km, Notes: The highway starting from its junction with NH-16 near Kathipudi connecting Kakinada, Machilipatnam and terminating at its junction with NH-16 near Ongole in the State of Andhra Pradesh. Old NH No.: 214, 214A.",Kathipudi (near NH-16),Ongole (near NH-16)
"Highway: 216A, From: Gondugolanu (near NH-16), To: Rajahmundary (near NH-16), Distance: 120.74 km, Notes: The highway starting from its junction with NH-16 near Gondugolanu connecting Tanaku, Ravulapalem and terminating at its junction with NH-16 near Rajahmundary in the State of Andhra Pradesh. Old NH No.: 331.",Gondugolanu (near NH-16),Rajahmundary (near NH-16)
"Highway: 716, From: Chennai (near NH No. 16), To: Muddanuru (near NH-67), Distance: 319.3 km, Notes: The highway starting from its junction with NH No. 16 near Chennai connecting Tiruttani in the State of Tamil Nadu, Reniguta, Mamanduru, Settigunta, Koduru, Pullampeta, Rajampet, Nandalur, Madhavaram, Vonimitta, Bhakarapet, Kadapa (Cuddapah), Kuarunipalli, Vellore, Thapetla, Kothapalli, Chidipirala, Pandillapalle, Thiparulu, Yeragunttla, Nidizivve, Chillamakuru, and terminating at its junction with NH-67 near Muddanuru in the State of Andhra Pradesh. Old NH No.: 205.",Chennai (near NH No. 16),Muddanuru (near NH-67)
"Highway: 17, From: Sivok (near NH-10), To: Jainti (near Indo/Bhutan border), Distance: 161.7 km, Notes: The highway starting from its junciton with NH-10 near Sivok connecting Bagrakot, Chalsa, Nagarkata, Goyerkata, Birpara, Falakata, Sonarpur, Koch-Bihar, Tufanganj in the State of West Bengal and terminating at Jainti near Indo/Bhutan border. Old NH No.: 31, 31C, 31D, 31D(New) & 31C(New).",Sivok (near NH-10),Jainti (near Indo/Bhutan border)
